created_at,label,category,tokenization,full_text,id_str,favorite_count,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue May 14 06:23:02 +0000 2024,1.0,neutral,"['breaking', 'news', 'banjir', 'bandang', 'terjang', 'sumbar', 'selasa', '14', 'mei', '2024', 'httpstco5r4uqikzz0']",breaking news banjir bandang terjang sumbar selasa 14 mei 2024 https tco5r4uqikzz0,1790266553726095663,0,,,in,"Jakarta Pusat, DKI Jakarta",0,1,1,https://twitter.com/SINDOnews/status/1790266553726095663,231355136,SINDOnews
Tue May 14 06:18:15 +0000 2024,1.0,neutral,"['foto', 'juang', 'tim', 'sar', 'cari', 'korban', 'banjir', 'bandang', 'di', 'sumbar', '50', 'orang', 'temu', 'tewas', 'httpstcosyycysmizu']",foto perjuangan tim sar cari korban banjir bandang di sumbar 50 orang ditemukan tewas https tcosyycysmizu,1790265347884650690,0,,,in,Indonesia,0,0,0,https://twitter.com/merdekadotcom/status/1790265347884650690,456426648,merdekadotcom
Tue May 14 06:16:33 +0000 2024,1.0,evacuation route,"['ltpgtperbaikan', 'jembatan', 'di', 'beberapa', 'titik', 'ruasruas', 'jalan', 'nasional', 'yang', 'amblas', 'dan', 'tidak', 'bisa', 'lalu', 'jadi', 'butuh', 'desak', 'bagi', 'masyarakat', 'dampak', 'banjir', 'bandang', 'lahar', 'dingin', 'marapi', 'di', 'sumbarltpgt', 'httpstcomtxjncwbpb']",lt p gt perbaikan jembatan di beberapa titik ruasruas jalan nasional yang amblas dan tidak bisa dilalui menjadi kebutuhan mendesak bagi masyarakat terdampak banjir bandang lahar dingin marapi di sumbar lt p gt https tcomtxjncwbpb,1790264920837410869,0,,,in,"Jakarta Capital Region, Indone",0,0,0,https://twitter.com/validnewsid/status/1790264920837410869,874558344593195008,validnewsid
Tue May 14 06:10:03 +0000 2024,1.0,neutral,"['breaking', 'news', 'banjir', 'bandang', 'terjang', 'sumbar', '50', 'tewas', 'selasa', '14', 'mei', '2024', 'httpstcoqoxfdsexkj']",breaking news banjir bandang terjang sumbar 50 tewas selasa 14 mei 2024 https tcoqoxfdsexkj,1790263286791061762,0,,,in,iNews Tower,0,0,0,https://twitter.com/officialinews_/status/1790263286791061762,132078023,officialinews_
Tue May 14 06:06:06 +0000 2024,1.0,neutral,"['hari', 'dua', 'pasca', 'banjir', 'bandang', 'agam', 'bantu', 'terus', 'alir', 'via', 'infosumbar', 'httpstco7rejfjdgog', 'infosumbar', 'banjirbandang', 'agam']",hari kedua pasca banjir bandang agam bantuan terus mengalir via infosumbar https tco7rejfjdgog infosumbar banjirbandang agam,1790262290685853913,1,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://twitter.com/infoSumbar/status/1790262290685853913,162721676,infoSumbar
Tue May 14 06:01:04 +0000 2024,1.0,neutral,"['korban', 'banjir', 'bandang', 'di', 'sumatera', 'barat', 'capai', '50', 'orang', 'tinggal', 'dunia', 'httpstcoxe3qqzmi91', 'banjirbandangsumbar', 'prayforsumbar', 'bencanaalam', 'bnpb', 'sumaterabarat', 'solidaritassumbar', 'pedulisesama', 'relawanbencana', 'bantuankemanusiaan', 'indonesiabersatu']",korban banjir bandang di sumatera barat capai 50 orang meninggal dunia https tcoxe3qqzmi91 banjirbandangsumbar prayforsumbar bencanaalam bnpb sumaterabarat solidaritassumbar pedulisesama relawanbencana bantuankemanusiaan indonesiabersatu,1790261023330689357,0,,,in,"Panakkukang, Indonesia",0,0,0,https://twitter.com/ngopilotong/status/1790261023330689357,1573751399912853504,ngopilotong
Tue May 14 05:57:03 +0000 2024,1.0,neutral,"['sumbar', 'terjang', 'banjir', 'bandang', 'httpstcoz7ejopsvas']",sumbar diterjang banjir bandang https tcoz7ejopsvas,1790260013644353663,0,,,in,JKT-INA,0,0,0,https://twitter.com/20detik/status/1790260013644353663,598959076,20detik
Tue May 14 05:44:11 +0000 2024,1.0,neutral,"['korban', 'jiwa', 'bencana', 'banjir', 'bandang', 'di', 'tanah', 'datar', 'jumlah', '5', 'orang', 'badan', 'nasional', 'tanggulang', 'bencana', 'bnpb', 'beri', 'update', 'korban', 'dampak', 'banjir', 'bandang', 'di', 'sumatera', 'barat', 'sumbar', 'httpstco1uobi5cyih']",korban jiwa bencana banjir bandang di tanah datar berjumlah 5 orang badan nasional penanggulangan bencana bnpb memberikan update korban terdampak banjir bandang di sumatera barat sumbar https tco1uobi5cyih,1790256777109619073,1,,,in,"Pulo Gadung, Indonesia",0,0,0,https://twitter.com/tvOneNews/status/1790256777109619073,55507370,tvOneNews
Tue May 14 05:34:21 +0000 2024,1.0,neutral,"['fpibantuankemanusiaan', 'lapor', 'giat', 'pri', 'fpi', 'di', 'lokasi', 'banjir', 'bandang', 'sumbar', 'senin', '1352024', 'prayforsumbar', 'httpstcoc5qdecedij']",fpibantuankemanusiaan laporan kegiatan pri fpi di lokasi banjir bandang sumbar senin 1352024 prayforsumbar https tcoc5qdecedij,1790254300343763315,1,https://pbs.twimg.com/ext_tw_video_thumb/1790254132642955264/pu/img/GfpkBuhz-TWizq5A.jpg,,in,INA,0,0,0,https://twitter.com/Alumni212Spirit/status/1790254300343763315,1780969174850019328,Alumni212Spirit
Tue May 14 05:21:53 +0000 2024,1.0,neutral,"['banjir', 'bandang', 'di', 'sumbar', 'telan', '50', 'korban', 'basarnas', 'masih', 'cari', '27', 'warga', 'yang', 'hilang', 'httpstcouruoxu284q']",banjir bandang di sumbar telan 50 korban basarnas masih mencari 27 warga yang hilang https tcouruoxu284q,1790251165239721989,0,,,in,"Bangkalan, Jawa Timur,",0,0,0,https://twitter.com/RadarBangkalan/status/1790251165239721989,1733752884188295168,RadarBangkalan
